nombre_negocio;nombre_contacto;categoria;telefono_movil;telefono_fijo;email;direccion;municipio;provincia;rating_google;zona_id;notas
Ana Alvarez Beauty Concept;;peluqueria;;865835419;email;C/Pintor Baeza 12;San Juan de Alicante;Alicante;5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Pizzeria Nando;;pizzeria;;966372546;email;C/Dr.Severo Ochoa 6;San Juan de Alicante;Alicante;4.6;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
La Quinteria;;restaurante;;965652294;email;C/Dr.Gadea 17;San Juan de Alicante;Alicante;4.8;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Almantoni;;restaurante;;966837554;email;Av.la Rambla 5;San Juan de Alicante;Alicante;4.5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Me gusta Sant Joan;;restaurante;;966389349;email;C/Dr.San Miguel 3;San Juan de Alicante;Alicante;4.3;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
THUYA Ropa;;tienda_ropa;688796942;;email;Av.la Rambla 56;San Juan de Alicante;Alicante;4.4;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Kokoa Moda;;tienda_ropa;688796954;;email;C/Jaume I 7;San Juan de Alicante;Alicante;4.5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Karay Moda;;tienda_ropa;;965940592;email;C/Jaume I 6;San Juan de Alicante;Alicante;4.5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
AXA Seguros Marti;;seguros;;965655121;email;C/l'Ordana 8;San Juan de Alicante;Alicante;4.8;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
AXA Barcza Seguros;;seguros;;965942101;email;C/Ramon Campoamor 1;San Juan de Alicante;Alicante;4.8;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Aracil y Pastor Seguros;;seguros;;966372760;email;Av.la Rambla 27;San Juan de Alicante;Alicante;4.8;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Meridiano Seguros;;seguros;;965939496;email;C/del Mercat 12;San Juan de Alicante;Alicante;4.2;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Reale Seguros;;seguros;;966374840;email;C/Tomas Capelo 7;San Juan de Alicante;Alicante;5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Talleres San Juan;;taller;;965658183;email;C/Notario Montesinos 23;San Juan de Alicante;Alicante;4.1;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Auto Center San Juan;;taller;;965168221;email;C/Dr.Ivorra 8;San Juan de Alicante;Alicante;4.6;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Taller Energy Motor;;taller;677680354;;email;Pje.de Soro 4;San Juan de Alicante;Alicante;4.3;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Mandonna Sant Joan;;bar;644632826;;email;C/del Mercat 14;San Juan de Alicante;Alicante;4.7;e6bcf795-4389-44e0-a973-d5ac62fd8c63;Bar de tapas
Chico Calla;;bar;617923253;;email;Av.la Rambla 39;San Juan de Alicante;Alicante;4.2;e6bcf795-4389-44e0-a973-d5ac62fd8c63;Bar de tapas
